procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2811096   2836 272388    0    0     0     0   60  413  0  0 100  0  0
 0  0      0 2811096   2836 272388    0    0     0     0   62  398  0  0 100  0  0
 0  0      0 2811096   2836 272388    0    0     0     0   65  405  0  0 100  0  0
 0  0      0 2812912   2836 272388    0    0     0     0   63  400  0  0 100  0  0
 0  0      0 2812660   2836 272388    0    0     0     0   54  367  0  0 100  0  0
 0  0      0 2812408   2836 272388    0    0     0     0   63  407  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2812408   2836 272388    0    0     0     0   69  410  0  0 100  0  0
 0  0      0 2812416   2836 272388    0    0     0     0   68  410  0  0 100  0  0
 0  0      0 2812416   2836 272388    0    0     0     0   63  391  0  0 100  0  0
 0  0      0 2812416   2836 272388    0    0     0     0   67  401  0  0 100  0  0
 0  0      0 2812416   2836 272388    0    0     0     0   66  387  0  0 100  0  0
 0  0      0 2812416   2836 272388    0    0     0     0   50  362  0  0 100  0  0
 0  0      0 2812416   2836 272388    0    0     0     0   68  398  0  0 100  0  0
 0  0      0 2812416   2836 272388    0    0     0     0   66  387  0  0 100  0  0
 0  0      0 2812416   2836 272388    0    0     0     0   69  401  0  0 99  0  0
 0  0      0 2812164   2836 272388    0    0     0     0   67  404  0  0 100  0  0
 0  0      0 2812164   2836 272388    0    0     0     0   56  377  0  0 100  0  0
 0  0      0 2812204   2836 272388    0    0     0     0   64  397  0  0 100  0  0
 0  0      0 2812204   2836 272388    0    0     0     0   48  366  0  0 100  0  0
 0  0      0 2812204   2836 272388    0    0     0     0   68  397  0  0 100  0  0
 0  0      0 2811952   2836 272388    0    0     0     0   64  392  0  0 100  0  0
 0  0      0 2811952   2836 272388    0    0     0     0   66  398  0  0 99  0  0
 0  0      0 2811952   2836 272388    0    0     0     0   68  404  0  0 100  0  0
 0  0      0 2811952   2836 272388    0    0     0     0   65  402  0  0 100  0  0
 0  0      0 2811952   2836 272388    0    0     0     0   66  390  0  0 100  0  0
 0  0      0 2811952   2836 272388    0    0     0     0   63  397  0  0 100  0  0
 0  0      0 2811952   2836 272388    0    0     0     0   48  357  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2811956   2836 272388    0    0     0     0   67  409  0  0 100  0  0
 0  0      0 2811996   2836 272388    0    0     0     0   64  397  0  0 100  0  0
 0  0      0 2811996   2836 272388    0    0     0     0   64  399  0  0 100  0  0
 0  0      0 2811996   2836 272388    0    0     0     0   62  403  0  0 100  0  0
 0  0      0 2811744   2836 272388    0    0     0     0   66  411  0  0 100  0  0
 0  0      0 2811744   2836 272388    0    0     0     0   63  394  0  0 100  0  0
 1  0      0 2811744   2836 272388    0    0     0     0   46  355  0  0 100  0  0
 0  0      0 2811744   2836 272388    0    0     0     0   64  400  0  0 100  0  0
 0  0      0 2811744   2836 272388    0    0     0     0   60  397  0  0 100  0  0
 0  0      0 2811744   2836 272388    0    0     0     0   92  481  0  0 100  0  0
 0  0      0 2811492   2836 272388    0    0     0     0   64  398  0  0 100  0  0
 0  0      0 2811532   2836 272388    0    0     0     0   68  410  0  0 100  0  0
 0  0      0 2811500   2836 272388    0    0     0     0   69  397  0  0 100  0  0
 0  0      0 2811500   2836 272388    0    0     0     0   64  406  0  0 100  0  0
 0  0      0 2811500   2836 272388    0    0     0     0   48  359  0  0 100  0  0
 0  0      0 2811248   2836 272388    0    0     0     0   67  395  0  0 100  0  0
 0  0      0 2811248   2836 272388    0    0     0     0   68  407  0  0 100  0  0
 0  0      0 2811248   2836 272388    0    0     0     0   67  400  0  0 100  0  0
 0  0      0 2811500   2836 272388    0    0     0     0   68  412  0  0 100  0  0
